1/6/2012,"4 The Avenue, Liffey Hall, Newbridge",,Kildare,232000,No
1/6/2012,"48 Galtymore Drive, Drimnagh, Dublin 12",,Dublin,90000,No
1/6/2012,"5 Clew Bay Close, Quay Road, Westport",,Mayo,165000,No
1/6/2012,"5 Harbour View, Cobh, Co. Cork",,Cork,60000,No
1/6/2012,"58A, Arbour Hill",Dublin 7,Dublin,38751,No
1/6/2012,"6 beechlawn mews, terenure",,Dublin,182500,No
1/6/2012,"61 Poddle Close, Crumlin",Dublin 12,Dublin,87725,Yes
1/6/2012,"7 Kilmalum Green, Blessington Manor, Blessington",,Kildare,170000,No
1/6/2012,"72 Riverbank, Mulcair Manor, Tipperary North",,Tipperary,207000,No
1/6/2012,"78/78A HYDE SQUARE APTS., 646A 666 SOUTH CIRCULAR RD., DUBLIN 8",Dublin 8,Dublin,185000,No
1/6/2012,"8 Sutton Court, Dundalk",,Louth,127500,No
1/6/2012,"91 Old Windmill Court, Lower Gerald Griffin Street, Limerick",,Limerick,85000,No
1/6/2012,"95 Ardilaun Heights, Mullingar",,Westmeath,72000,No
1/6/2012,"apt 34 auburn avenue, auburn park, castleknock",,Dublin,180000,No
1/6/2012,"Ballindrimley, Castlerea",,Roscommon,112500,No
1/6/2012,"Ballyarthur Lower, Mitchelstown",,Cork,201600,No
1/6/2012,"Ballyownen Ramsfort Park, Creagh, Gorey",,Wexford,110000,No
1/6/2012,"Bryer, Woodview  Douglas Road, Cork",,Cork,591500,No
1/6/2012,"Devon Road, Templeglantine",,Limerick,110000,No
1/6/2012,"Dromena road, dromiskin, dundalk",,Louth,205000,No
1/6/2012,"Drumersee, Swanlinbar",,Cavan,41000,No
1/6/2012,"Garra, Ballyglunin, Tuam",,Kerry,7500,Yes
1/6/2012,"Garra, Ballyglunin, Tuam",,Galway,7500,Yes
1/6/2012,"Glounaglough, Rylane",,Cork,50000,No
1/6/2012,"Graystown, Killenaule, Thurles",,Tipperary,51000,No
1/6/2012,"Knockatagglebeg, Kilcummin, Killarney",,Kerry,255000,No
1/6/2012,"Linden House, Droumgarriff, Glengarriff",,Cork,525000,No
1/6/2012,"Maryville, Ardmore",,Waterford,160000,No
1/6/2012,"Melrose, 40  Dalysfort Road, Salthill",,Galway,250000,No
1/6/2012,"No. 13 Acres Grove, Newport",,Mayo,192500,No
1/6/2012,"No. 54 Ashford Court, Grange, Douglas",,Cork,175000,No
1/6/2012,"pollanorman, dolla, nenagh",,Tipperary,109000,No
1/6/2012,"Silver Birch, Droumgarriff, Glengarriff",,Cork,650000,No
1/6/2012,"slavery, Buncrana",,Donegal,200000,No
1/6/2012,"wayside, old bray road, foxrock",Dublin 18,Dublin,475000,No
1/9/2012,"1 Dunmore Holiday Villas, Dunmore East",,Waterford,160000,No
1/9/2012,"1 Griove Street, Roscrea",,Tipperary,36000,No
1/9/2012,"1 River Lane Grove, Shankill",,Dublin,212000,No
